2020-07-15 08:21:06,"RT @misschindiya: COVID in Zim is a catch 22 situation:

Majority of the population lives on day to day income &amp; has little/no savings. So…"
2020-07-15 08:21:06,"RT @srivatsayb: AN EXAMPLE OF BJP's CORONA LOOT

In Bengaluru, BJP Govt decided to rent bed sets at ₹800/day for CoVid centres

Without ten…"
2020-07-15 08:21:06,RT @JTrentkemp1: STUNNING ! Texas Covid virus numbers show Covid -19 less lethal than last two flu seasons . TEXAS DEPARTMENT OF HEALTH SHO…
2020-07-15 08:21:06,"RT @6eChaithu: Tulsi water,steam,Neem leaves in hot water,edible camphor 

Best ingredients to boost up ur immune levels...

Only way to st…"
2020-07-15 08:21:05,"RT @DrSukantaMajum1: I wonder why Mamata keep everything hidden, secret and furnish fake and fabricated details.

Be it corona, or violence…"
2020-07-15 08:21:05,RT @Pdb76548853: @narendramodi When will be justice will given young doctors corona warriors  not paid stifend since 16months and they are…
2020-07-15 08:21:04,I smacked 3 corona seltzer’s in like 7 minutes what the fuck
2020-07-15 08:21:03,"RT @fesuganda: As we come to the end of our #FESAfricaCoronaBrief Series, We thank u, our followers,contributors,across the continent &amp; our…"
2020-07-15 08:21:02,RT @goal_digger__: number of apologies from mumbai this week is higher than their corona cases.
2020-07-15 08:20:59,"@squaddie4 Everything was good and is going up in price,  because I'd the Corona situation and profiteering. E.G. I… https://t.co/FJW3r8os4N"
2020-07-15 08:20:59,RT @TheDeyonceee: When the store doesn’t have the updated corona hours on google and you drove all the way there to find out that MF closed
2020-07-15 08:20:58,"RT @nususan1: They lied about AZ needing refrigerated trucks for the dead. THEY lied about test results in Florida. They lie period. 
Deman…"
2020-07-15 08:20:57,"RT @DeWurld: Corona virus no go steal our shine 🙏🙏

Look good 👀 and stunning 🔥💥👊 with DeWurld quality designer wears: 👇
Tops, Jeans, Jogger…"
2020-07-15 08:20:57,RT @ShimmeryBelief: For those that don't understand how this works.  #corona https://t.co/uAj37hixVC
2020-07-15 08:20:57,"This plot near in AGS colony, Pallikaranai has become a small lake and a breeding ground for mosquitoes and water s… https://t.co/QaSpzhd3v5"
2020-07-15 08:20:57,"RT @khaleejtimes: Skill, reskill and upskill: India PM Modi's job mantra amid corona crisis https://t.co/Ku8peT2wEm"
